user,start_date,itemlv
01년생엠지퍼,2024-06-08,500
01세진,2022-10-04,1302
0apa,2022-07-18,91.67
0Rina0,2021-07-29,1358.33
0제일배마0,2020-11-04,1316.17
1212호옆집주민,2022-07-07,1460
12423243534,2022-02-27,1370
13시36분,2022-11-12,51.67
149141,2023-01-12,90.83
14세꿈나무모험가송현민,2022-10-19,1385
173mm,2021-04-16,1325
18살군필여고생,2021-03-07,915
1976년생,2023-08-02,1490
19세문춘복,2022-07-11,52.5
1버블인데용맹을어떻게줘,2022-08-12,1470
1에이스1,2023-12-21,1575
1인강자,2022-01-21,1302
2020ss,2020-09-14,915
203207,2022-01-07,1302
207203,2021-12-14,1370
2210,2023-02-03,1340
2228,2022-12-07,302
24시간훈제나루니바베큐,2021-10-26,966.67
27노트,2021-01-21,1340.83
2rainx,2023-01-18,1490
2번치유토템,2023-12-23,1533.33
2월엔딸기죠,2023-02-04,1340
302702,2022-11-11,1595
3llo,2020-09-11,915
3대핑덤,2021-04-24,990
3버블바들레,2023-08-01,108.33
3번째인파,2021-12-24,1302
442,2022-11-17,1587.5
49ers,2022-06-30,51.67
4계절모기,2021-05-16,1350.83
4악,2022-07-26,1490
4점짜리4람,2023-08-15,1610.83
5드아이,2023-06-23,302
5번홐홐이,2021-07-08,1415
68세박춘배의마지막불꽃,2023-07-19,1467.5
6월02,2023-06-02,1477.5
707메딕,2021-05-23,571
78세박길수의마지막펀치,2024-02-03,1513.33
7l애앵,2021-03-27,1355
7월19일생일,2023-07-20,1497.5
86레나아,2022-08-01,71.67
86세김춘배의최후의발악,2024-01-22,500
890507,2024-06-26,1601.67
8letscent,2022-03-28,302
90년생박홍규,2021-07-11,1430
96년생건슬링어,2021-11-09,1333.33
97세김복남의일격필살,2022-03-23,1340.83
9건,2021-01-28,1325
9월드콘,2023-09-18,1528.33
Absentia,2021-04-11,1370
ADCarry2B,2020-08-22,1308.5
ADMETUS,2022-06-11,1590
AeRiy,2023-10-06,1556.67
AGNES67,2024-03-02,1520
AhnJeJe,2024-07-13,1640
alado,2021-08-16,1415
amoisoo,2021-08-13,1415
AMORDT,2022-03-02,1325
anrghk,2021-10-04,1415
ArchBreaker,2023-12-21,1460
ArkMeteor,2021-08-15,1302
artmage,2021-09-23,1100
AshCornelian,2024-01-02,1553.33
Astz,2022-07-21,220.83
AvaLitia,2023-07-19,1490
BackShot,2023-10-19,1563.33
bambamw,2021-08-12,1302
basehead,2021-07-05,94.17
BIffrons,2021-07-09,1345
Bigdicuss,2021-07-15,1417.5
Big아가,2022-01-12,1370
BIOVITA,2023-07-26,1490
BladeMK,2021-12-23,1354.17
Bleed,2022-01-29,1587.5
Bluemold,2021-08-14,1394.17
borovoro,2021-10-18,1326.67
BTS손흥민황재연,2024-07-12,1640
BUBAB6,2021-03-21,61.67
Buckingham,2023-12-27,1640
BurstingBuds,2021-12-28,264.17
Byunharu,2024-02-10,185
By삐삐,2023-06-05,1525
By유니,2022-07-01,246.67
by한썰,2022-11-28,546.67
B오나,2022-07-14,1465
CALIFORNIA,2021-05-09,1351.67
cas7979,2021-07-10,1336.67
Cauneus,2023-06-22,51.67
CCCAK,2021-07-31,1302
CD겜,2023-05-02,1581.67
CD탑,2021-12-02,1445
ChizuCake,2021-12-23,1302
CHlCAGO,2022-07-16,1430
ciielGS,2022-12-22,1460
Clausia,2023-07-01,91.67
Claviola,2022-12-21,1472.5
CLipRT,2022-07-15,1465
CloudLo,2024-07-12,1630
CNU1,2020-08-22,1007.5
COCOM0M,2021-11-06,973.33
CoffeHouse,2021-11-09,1390
ColdplayMs,2021-03-30,1355
comnamu119,2021-08-16,1302
Cornplex,2021-03-14,1352.5
CreamARD,2023-01-23,1455
C부레,2023-12-21,1580
C브레,2023-12-23,1580
D00LY,2022-01-27,1430
Dalmadooo,2022-06-10,560
DarkCyrillic,2021-02-10,1365.83
DarkSSson,2023-12-20,1553.33
DDD,2021-08-11,1302
DDooRuDDooRu,2023-01-28,1447.5
De3o,2022-05-06,1530
Deform,2021-09-09,1420
Dempester,2021-05-12,534.17
DevHoly,2021-08-16,1340
digobick,2023-09-22,1455
Dr콜롬바스,2021-05-02,551.67
Ds창술,2021-05-09,1336.67
DulceViento,2023-01-19,1540
DuskStory,2022-07-15,1460
Ealize,2023-11-20,1546.67
EIEL,2020-08-22,955
EjanP,2022-01-12,1500.83
ENFJ소울이터,2023-07-20,1530
Ensliea,2023-12-23,1565
Entia,2021-08-06,1302
EnYool,2023-02-28,1340
EO25,2021-01-17,1340
EpilogueOPEN,2022-06-06,1415
EtherStrike,2021-08-05,1385
eunhye,2022-10-06,327.33
evenAnima,2023-07-19,1490
evien,2023-12-21,1528.33
F1verBD,2021-03-30,1335
Fantaru,2022-02-14,1370
Fe연,2022-05-22,600
FFEEFE,2022-04-13,1415
FIN9ER,2022-01-22,1531.67
FLY브레이커,2024-01-09,1520
FortRosalie,2023-09-17,1500
Gamaliel,2023-12-21,1540
